kanji,eng,kunyomi,onyomi,ex1,ex2,ex3
会,meet,['あ.う|あ.わせる|あつ.まる'],['カイ|エ'],,,
同,same,['おな.じ'],['ドウ'],"['同じ', 'おなじ', 'same']","['同時', 'どうじ', 'simultaneous']",
自,oneself,['みずか.ら|おの.ずから|おの.ずと'],['ジ|シ'],"['自分', 'じぶん', 'oneself']","['自動', 'じどう', 'automatic']","['自転車', 'じてんしゃ', 'bicycle']"
事,abstract thing,['こと|つか.う|つか.える'],['ジ|ズ'],"['食事', 'しょくじ', 'abstract thing']",,
社,{EMPTY},['やしろ'],['シャ'],,,
力,power,['ちから'],['リョク|リキ|リイ'],"['電力', 'でんりょく', 'power']","['全力', 'ぜんりょく', 'all ones power']",
立,stand,['た.つ|-た.つ|た.ち-|た.てる|-た.てる|た.て-|たて-|-た.て|-だ.て|-だ.てる'],['リツ|リュウ|リットル'],,,
手,hand,['て|て-|-て|た-'],['シュ|ズ'],,,
地,ground,[],['チ|ジ'],"['地下', 'ちか', 'basement']","['地味', 'じみ', 'simple']",
田,rice field,['た'],['デン'],"['田', 'た', 'rice field']","['新田', 'しんでん', 'new rice field']",
方,direction,['かた|-かた|-がた'],['ホウ'],"['考え方', 'かんがえかた', 'way of thinking']","['味方', 'みかた', 'friend']",
発,departure,['た.つ|あば.く|おこ.る|つか.わす|はな.つ'],['ハツ|ホツ'],"['出発', 'しゅっぱつ', 'departure']","['発表', 'はっぴょう', 'announcement']","['発見', 'はっけん', 'discovery']"
目,eye,['め|-め|ま-'],['モク|ボク'],,,
場,place,['ば'],['ジョウ|チョウ'],"['場所', 'ばしょ', 'place']","['工場', 'こうじょう', 'factory']","['広場', 'ひろば', 'plaza']"
者,someone,['もの'],['シャ'],"['者', 'もの', 'person']","['業者', 'ぎょうしゃ', 'trader']","['科学者', 'かがくしゃ', 'scientist']"
業,business,['わざ'],['ギョウ|ゴウ'],"['業者', 'ぎょうしゃ', 'trader']","['工業', 'こうぎょう', 'manufacturing']","['休業', 'きゅうぎょう', 'closed']"
明,bright,['あ.かり|あか.るい|あか.るむ|あか.らむ|あき.らか|あ.ける|-あ.け|あ.く|あ.くる|あ.かす'],['メイ|ミョウ|ミン'],"['明るい', 'あかるい', 'bright']","['不明', 'ふめい', 'unknown']","['発明', 'はつめい', 'invention']"
新,new,['あたら.しい|あら.た|あら-|にい-'],['シン'],,,
正,{EMPTY},['ただ.しい|ただ.す|まさ|まさ.に'],['セイ|ショウ'],,,
京,capital,['みやこ'],['キョウ|ケイ|キン'],"['東京', 'とうきょ', 'Tokyo']","['京都', 'きょうと', 'Kyoto']",
公,{EMPTY},['おおやけ'],['コウ|ク'],,,
通,pass through,['とお.る|とお.り|-とお.り|-どお.り|とお.す|とお.し|-どお.し|かよ.う'],['ツウ|ツ'],"['通る', 'とおる', 'to pass']","['通う', 'かよう', 'to commute']","['通信社', 'つうしんしゃ', 'newsagency']"
員,member,[],['イン'],"['店員', 'てんいん', 'employee']","['行員', 'こういん', 'factory worker']","['全員', 'ぜんいん', 'every member']"
理,reason,['ことわり'],['リ'],"['料理', 'りょうり', 'cooking']","['物理', 'ぶつり', 'physics']","['地理', 'ちり', 'geography']"
体,body,['からだ|かたち'],['タイ|テイ'],"['本体', 'ほんたい', 'substance']","['死下', 'したい', 'corpse']",
開,open,['ひら.く|ひら.き|-びら.き|ひら.ける|あ.く|あ.ける'],['カイ'],"['開ける', 'あける', 'open']","['開く', 'あく', 'to open']",
文,writing,['ふみ|あや'],['ブン|モン'],"['作文', 'さくぶん', 'writing']","['文学', 'ぶんがく', 'literature']","['注文', 'ちゅうもん', 'order']"
問,question,['と.う|と.い|とん'],['モン'],"['質問', 'しつもん', 'question']","['不問', 'ふもん', 'ignorance']",
代,generation,['か.わる|かわ.る|かわ.り|か.わり|-がわ.り|-が.わり|か.える|よ|しろ'],['ダイ|タイ'],"['時代', 'じだい', 'era']","['代金', 'だいきん', 'payment']","['代わる', 'かわる', 'to take the place of']"
作,make,['つく.る|つく.り|-づく.り'],['サク|サ'],"['作る', 'つくる', 'to create']","['手作り', 'てづくり', 'handmade']","['作家', 'さっか', 'author']"
用,use,['もち.いる'],['ヨウ'],"['用', 'よう', 'task, business']","['信用', 'しんよう', 'confidence']","['起用', 'きよう', 'appointment']"
動,move,['うご.く|うご.かす'],['ドウ'],"['動く', 'うごく', 'to move']","['動物', 'どうぶつ', 'animal']","['自動', 'じどう', 'automatic']"
言,{EMPTY},['い.う|こと'],['ゲン|ゴン'],,,
